state,county,pop2018,65plus2018,dens2019,cases,first_case,deaths,first_death,stay_home_date,r_percent,d_percent,g_percent,l_percent,poverty,obesity
Texas,Swisher County,7462,1319,8.38,97.0,2020-03-29,0.0,,2020-04-02,76.301369863,21.095890411,0.27397260274,2.32876712329,16.9,0.282
Texas,Tarrant County,2084931,235187,2414.06,24171.0,2020-03-10,686.0,2020-03-24,2020-04-02,52.1524307819,43.4500748304,0.814836942091,3.58265744563,13.25,0.279
Texas,Taylor County,137640,19785,150.34,2318.0,2020-03-27,37.0,2020-04-05,2020-04-02,73.2823752927,22.1954667963,0.636239119869,3.88591879115,16.65,0.282
Texas,Terrell County,823,244,0.35,0.0,,0.0,,2020-04-02,65.6750572082,32.0366132723,0.0,2.28832951945,15.35,0.283
Texas,Terry County,12287,1860,13.82,214.0,2020-03-25,0.0,,2020-04-02,73.4543391946,24.0499149178,0.794100964265,1.70164492343,19.25,0.319
Texas,Throckmorton County,1515,425,1.66,0.0,,0.0,,2020-04-02,88.4900990099,10.396039604,0.247524752475,0.866336633663,14.25,0.29
Texas,Titus County,33033,4715,81.35,173.0,2020-04-03,0.0,,2020-04-02,69.8016564952,27.6591107236,0.479511769834,2.05972101133,16.85,0.305
Texas,Tom Green County,118189,18267,77.65,849.0,2020-03-24,17.0,2020-04-10,2020-04-02,71.8454755406,23.926621877,0.566869619987,3.66103296242,16.55,0.283
Texas,Travis County,1248743,123395,1258.52,22853.0,2020-03-13,391.0,2020-03-28,2020-04-02,27.4047536167,66.2632888731,1.60428616833,4.72767134187,15.7,0.237
Texas,Trinity County,14740,3921,21.25,113.0,2020-04-04,0.0,,2020-04-02,79.1875626881,19.2912069542,0.183884988298,1.33734536944,18.4,0.315
Texas,Tyler County,21696,4846,23.47,78.0,2020-04-04,0.0,,2020-04-02,82.833479734,15.5979420253,0.27606977036,1.29250847032,19.05,0.298
Texas,Upshur County,41260,7576,70.77,207.0,2020-03-24,0.0,,2020-04-02,82.9124261842,14.9390626963,0.370649579093,1.77786154039,13.5,0.31
Texas,Upton County,3671,516,2.96,0.0,,0.0,,2020-04-02,74.1512345679,21.9135802469,0.231481481481,3.7037037037,16.75,0.298
Texas,Uvalde County,26846,4518,17.3,152.0,2020-03-27,0.0,,2020-04-02,54.0286481647,43.2296329454,0.604297224709,2.13742166517,27.2,0.295
Texas,Val Verde County,49208,7001,15.65,262.0,2020-03-26,0.0,,2020-04-02,43.4550311665,51.3505491244,0.972098545562,4.22232116355,23.7,0.277
Texas,Van Zandt County,56019,11321,66.49,244.0,2020-03-24,29.0,2020-03-29,2020-04-02,85.0016137212,12.8728848725,0.35501867306,1.77048273318,14.6,0.325
Texas,Victoria County,92035,14822,104.34,1932.0,2020-03-26,16.0,2020-04-15,2020-04-02,68.4873678783,28.4963908224,0.496261923176,2.51997937613,15.8,0.298
Texas,Walker County,72480,9571,92.42,1386.0,2020-03-25,8.0,2020-04-22,2020-04-02,65.4270182391,30.9150027943,0.817964741147,2.84001422547,22.95,0.326
Texas,Waller County,53126,6282,103.51,452.0,2020-03-29,0.0,,2020-04-02,62.9673945558,34.3643434041,0.622195632665,2.04606640742,20.45,0.323
Texas,Ward County,11720,1636,14.03,0.0,,0.0,,2020-04-02,74.4506299443,22.8537943159,0.292997363024,2.40257837679,15.8,0.3
Texas,Washington County,35108,7612,58.11,1187.0,2020-03-28,81.0,2020-04-05,2020-04-02,74.2117040754,22.9266969553,0.47467281481,2.38692615447,16.5,0.286
Texas,Webb County,275910,26087,82.08,5343.0,2020-03-17,214.0,2020-03-30,2020-04-02,22.7653999683,74.3788137232,1.03926706174,1.81651924666,29.85,0.307
Texas,Wharton County,41619,7110,38.32,675.0,2020-03-25,0.0,,2020-04-02,69.0079553954,28.816209968,0.346773645203,1.82906099136,16.95,0.292
Texas,Wheeler County,5191,1004,5.68,13.0,2020-04-22,0.0,,2020-04-02,90.5030355594,8.41283607979,0.173460537728,0.91066782307,15.0,0.296
Texas,Wichita County,132064,19436,210.43,1535.0,2020-03-20,16.0,2020-04-19,2020-04-02,72.8219871812,23.0844301427,0.675230132145,3.41835254398,15.0,0.329
Texas,Wilbarger County,12820,2355,13.2,13.0,2020-04-14,0.0,,2020-04-02,77.2006827603,19.678127286,0.31699585467,2.804194099,24.3,0.292
Texas,Willacy County,21515,3015,36.43,184.0,2020-03-27,22.0,2020-04-05,2020-04-02,30.3227075954,67.217630854,0.609996064542,1.84966548603,45.15,0.285
Texas,Williamson County,566719,68988,506.75,3415.0,2020-03-19,95.0,2020-03-29,2020-04-02,51.8785781253,42.0159182941,1.01633719655,5.08916638407,6.35,0.271
Texas,Wilson County,50224,8033,62.49,378.0,2020-03-25,17.0,2020-04-15,2020-04-02,72.6616463256,24.8766554142,0.425863412101,2.03583484809,9.2,0.276
